級別,單字,屬性,中文
3,bang,n./v./adv.,砰
3,banker,n.,銀行家
3,bare,adj./v.,裸
3,barely,adv.,僅僅
3,barn,n.,穀倉
3,barrel,n.,桶
3,basement,n.,地下室
3,bay,n.,灣
3,bead,n.,珠
3,beam,n./v.,光束
3,beast,n.,獸
3,beetle,n.,甲蟲
3,beneath,prep.,下面
3,benefit,n./v.,益處
3,berry,n.,莓果
3,besides,adv./prep.,除了
3,bet,v./n.,賭注
3,bind,v.,綁定
3,bitter,adj.,苦的
3,bleed,v.,流血
3,bless,v.,保佑
3,bloody,adj.,血腥
3,blouse,n.,女式襯衫
3,bold,adj.,大膽的
3,bomb,n./v.,炸彈
3,bookcase,n.,書櫃
3,boot,n./v.,啟動
3,bore,v./n.,鑽孔
3,bowling,n.,保齡球
3,brake,n./v.,煞車
3,brass,n./adj.,黃銅
3,bravery,n.,勇敢
3,breast,n.,胸部
3,breath,n.,氣息
3,breathe,v.,呼吸
3,breeze,n./v.,微風
3,brick,n.,磚
3,bride,n.,新娘
3,broadcast,n./v.,pod送
3,brunch,n.,早午餐
3,bubble,n./v.,氣泡
3,bucket,n.,桶
3,bud,n./v.,芽
3,budget,n./v.,預算
3,buffalo,n.,水牛
3,buffet,n.,自助餐
3,bulb,n.,電燈泡
3,bull,n.,公牛
3,bullet,n.,子彈
3,bump,n./v.,撞
3,bunch,n.,束
3,bundle,n.,捆
3,bury,v.,埋葬
3,bush,n.,襯套
3,buzz,n./v.,嗡嗡聲
3,cabin,n.,艙
3,cable,n./v.,電纜
3,cafeteria,n.,自助餐廳
3,campus,n.,校園
3,canyon,n.,峽谷
3,capable,adj.,有能力的
3,captain,n.,隊長
3,capture,v.,捕獲
3,career,n.,職業
3,carpenter,n.,木匠
3,carpet,n./v.,地毯
3,carriage,n.,運輸
3,cart,n./v.,大車
3,cast,v./n.,投擲
3,casual,adj.,隨意的
3,cattle,n.,牛
3,cave,n./v.,洞穴
3,champion,n.,冠軍
3,charm,n./v.,魅力
3,chat,n./v.,聊天
3,cheek,n.,臉頰
3,cheerful,adj.,快樂
3,cherry,n./adj.,櫻桃
3,chest,n.,胸部
3,chill,n./v./adj.,寒意
3,chilly,adj.,寒冷
3,chimney,n.,煙囪
3,chin,n.,下巴
3,chip,n./v.,晶片
3,chop,n./v.,劈
3,cigarette,n.,捲菸
3,cinema,n.,電影
3,circus,n.,馬戲團
3,citizen,n.,國民
3,civil,adj.,民事的
3,clay,n.,黏土
3,cleaner,n.,清潔工
3,client,n.,客戶
3,clinic,n.,診所
3,clip,n./v.,夾子
3,closet,n.,衣櫥
3,clothe,v.,衣服
3,clown,n./v.,小丑
3,clue,n.,線索
3,coach,n./v.,教練
3,cock,n.,公雞
3,cocktail,n.,雞尾酒
3,coconut,n.,椰子
3,collar,n.,衣領
3,collection,n.,收藏
3,colony,n.,殖民地
3,colorful,adj.,豐富多彩的
3,column,n.,柱子
3,comfort,n./v.,舒適
3,comma,n.,逗號
3,committee,n.,委員會
3,communicate,v.,交流
3,comparison,n.,比較
3,compete,v.,競爭
3,complain,v.,抱怨
3,complaint,n.,抱怨
3,concert,n.,音樂會
3,conclusion,n.,結論
3,cone,n.,錐體
3,confirm,v.,確認
3,confuse,v.,迷惑
3,connect,v.,連接
3,conscious,adj.,有意識的
3,considerable,adj.,大量
3,constant,adj./n.,持續的
3,continent,n.,大陸
3,controller,n.,控制器
3,cooker,n.,炊具
3,costly,adj.,昂貴
3,cotton,n.,棉布
3,cough,n./v.,咳嗽
3,countable,adj.,可數的
3,county,n.,縣
3,crab,n.,螃蟹
3,cradle,n./v.,搖籃
3,crane,n./v.,起重機
3,crash,n./v.,碰撞
3,crawl,v./n.,爬行
3,creative,adj.,有創造力的
3,creator,n.,創造者
3,creature,n.,生物
3,credit,n./v.,信用
3,crew,n.,全體人員
3,cricket,n.,蟋蟀
3,criminal,adj./n.,刑事
3,crispy,adj.,脆的
3,crop,n./v.,莊稼
3,crown,n./v.,王冠
3,cruel,adj.,殘忍的
3,cupboard,n.,櫥櫃
3,dairy,n.,乳製品
3,dam,n./v.,壩
3,dare,aux./v.,敢
3,darling,n./adj.,親愛的
3,dash,n./v.,短跑
3,database,n.,資料庫
3,dawn,n./v.,黎明
3,dealer,n.,經銷商
3,decade,n.,十年
3,deck,n.,甲板
3,decorate,v.,裝飾
3,decrease,v./n.,減少
3,deed,n.,契據
3,deepen,v.,深化
3,definition,n.,定義
3,democracy,n.,民主
3,democratic,adj.,民主的
3,deposit,n./v.,訂金
3,designer,n.,設計師
3,desirable,adj.,理想的
3,desire,n./v.,慾望
3,dessert,n.,甜點
3,destroy,v.,破壞
3,detect,v.,探測
3,determine,v.,決定
3,devil,n.,魔鬼
3,dim,adj./v.,暗淡
3,dime,n.,一毛錢
3,dine,v.,吃飯
3,dinosaur,n.,恐龍
3,dip,v./n.,沾
3,dirt,n.,污垢
3,discount,n./v.,折扣
3,dishonest,adj.,不誠實
3,disk/disc,n.,磁碟/磁碟
3,dislike,v./n.,不喜歡
3,ditch,n./v.,溝
3,dive,n./v.,潛水
3,dizzy,adj.,暈眩的
3,dock,n./v.,碼頭
3,dolphin,n.,海豚
3,donkey,n.,驢
3,dose,n./v.,劑量
3,doubtful,adj.,疑
3,doughnut,n.,油炸圈餅
3,downtown,adj./adv./n.,市中心
3,drag,v./n.,拖
3,dragonfly,n.,蜻蜓
3,drain,v./n.,流走
3,dramatic,adj.,戲劇性
3,drip,n./v.,滴
3,drown,v.,淹死
3,drugstore,n.,藥局
3,drunk,adj./n.,醉
3,dumb,adj.,啞的
3,dump,v./n.,傾倒
3,dumpling,n.,餃子
3,dust,n./v.,灰塵
3,eager,adj.,渴望的
3,echo,n./v.,迴音
3,edit,v.,編輯
3,editor,n.,編輯
3,educate,v.,教育
3,educational,adj.,教育性的
3,efficient,adj.,高效率的
3,elbow,n./v.,彎頭
3,elderly,adj.,老年
3,elect,v./adj.,選
3,election,n.,選舉
3,electricity,n.,電
3,electronic,adj.,電子的
3,element,n.,元素
3,elevator,n.,電梯
3,emergency,n.,緊急狀況
3,emotional,adj.,情緒化的
3,emperor,n.,皇帝
3,enable,v.,使能夠
3,energetic,adj.,精力充沛
3,engage(ment),v./(n.),訂婚）
3,enjoyable,adj.,令人愉快的
3,entry,n.,入口
3,envy,n./v.,嫉妒
3,erase,v.,擦除
3,excellence,n.,卓越
3,exchange,n./v.,交換
3,exhibition,n.,展覽
3,expectation,n.,期待
3,experiment,n./v.,實驗
3,explode,v.,霹靂
3,explore,v.,探索
3,export,n./v.,出口
3,expressive,adj.,富有表現力的
3,extreme,adj./n.,極端
3,fade,v.,褪色
3,faint,adj./v./n.,頭暈的
3,fairly,adv.,相當
3,fairy,n./adj.,仙女
3,faith,n.,信仰
3,fake,adj./v./n.,偽造的
3,familiar,adj.,熟悉的
3,fancy,adj./n./v.,想要
3,fare,n.,票價
3,farther,adv./adj.,更遠
3,fashionable,adj.,時髦
3,faucet,n.,龍頭
3,fearful,adj.,可怕
3,feather,n.,羽毛
3,fence,n.,柵欄
3,fighter,n.,戰鬥機
3,firework,n.,焰火
3,fist,n./v.,拳頭
3,flame,n./v.,火焰
3,flash,n./v.,閃光
3,flashlight,n.,手電筒
3,flavor,n./v.,味道
3,flesh,n.,肉
3,float,v./n.,漂浮
3,flock,n./v.,群
3,flood,n./v.,洪水
3,flour,n.,麵粉
3,flute,n.,長笛
3,foggy,adj.,有霧的
3,fold,v./n.,折疊
3,follower,n.,追隨者
3,fond,adj.,喜歡
3,forever,adv.,永遠
3,fortune,n.,財富
3,fountain,n.,噴泉
3,frank,adj.,坦白
3,freeze,v./n.,凍結
3,freezer,n.,冰箱
3,frequent,adj./v.,經常的
3,fright,n.,驚嚇
3,frighten,v.,嚇唬
3,fuel,n./v.,燃料
3,fund,n./v.,基金
3,fur,n.,皮草
3,gallon,n.,加侖
3,gamble,n./v.,賭博
3,gang,n./v.,幫派
3,gap,n.,差距
3,garage,n.,車庫
3,gasoline/gas,n.,汽油/天然氣
3,geography,n.,地理
3,gesture,n./v.,手勢
3,glance,n./v.,一眼
3,global,adj.,全球的
3,glory,n.,榮耀
3,glow,n./v.,輝光
3,golf,n./v.,高爾夫球
3,gossip,n./v.,閒話
3,governor,n.,州長
3,grab,n./v.,抓住
3,graduate,n./v.,畢業
3,grasp,v./n.,抓牢
3,grasshopper,n.,蚱蜢
3,grassy,adj.,長滿青草的
3,greedy,adj.,貪婪的
3,greenhouse,n.,溫室
3,grin,n./v.,咧嘴笑
3,grocery,n.,雜貨店
3,guidance,n.,指導
3,gum,n.,膠
3,hairdresser,n.,理髮師
3,hallway,n.,門廳
3,hammer,n./v.,槌
3,handful,n.,少數
3,handkerchief,n.,手帕
3,handy,adj.,便利
3,hanger,n.,衣架
3,harbor,n./v.,港口
3,harm,n./v.,傷害
3,harmful,adj.,有害
3,harvest,n./v.,收成
3,hasty,adj.,倉促的
3,hatch,n./v.,孵化
3,hateful,adj.,可惡
3,hay,n.,乾草
3,headline,n./v.,標題
3,headquarters,n.,總部
3,heal,v.,癒合
3,heap,n./v.,堆疊
3,heater,n.,加熱器
3,heel,n./v.,腳跟
3,hell,n.,地獄
3,helmet,n.,頭盔
3,hesitate,v.,猶豫
3,hint,n./v.,暗示
3,hire,v./n.,聘請
3,historian,n.,歷史學家
3,historic,adj.,歷史性
3,holder,n.,持有者
3,hollow,adj./n./v.,空洞的
3,holy,adj.,聖
3,homesick,adj.,想家
3,hometown,n.,家鄉
3,honesty,n.,誠實
3,honor,n./v.,榮譽
3,hopeful,adj.,充滿希望的
3,horn,n.,喇叭
3,horrible,adj.,可怕
3,horror,n.,恐怖
3,hourly,adj./adv.,每小時
3,housekeeper,n.,管家
3,hug,n./v.,擁抱
3,hum,v.,哼
3,humid,adj.,濕
3,humor,n.,幽默
3,humorous,adj.,幽默
3,hunger,n.,飢餓
3,hut,n.,小屋
3,icy,adj.,冰冷的
3,imagination,n.,想像力
3,immediate,adj.,即時
3,import,n./v.,進口
3,impress,v.,留下深刻印象
3,indoor,adj.,室內的
3,indoors,adv.,室內
3,industrial,adj.,工業的
3,inferior,adj./n.,下
3,inform,v.,通知
3,information,n.,資訊
3,injury,n.,受傷
3,inn,n.,客棧
3,inner,adj.,內
3,innocent,adj.,清白的
3,inspect,v.,檢查
3,inspector,n.,檢驗員
3,intelligent,adj.,聰明的
3,interrupt,v.,打斷
3,invent,v.,發明
3,inventor,n.,發明者
3,investigate,v.,調查
3,invitation,n.,邀請函
3,ivory,n./adj.,象牙
3,jail,n./v.,監獄
3,jar,n.,罐
3,jaw,n.,顎
3,jazz,n.,爵士樂
3,jealous,adj.,嫉妒的
3,jeep,n.,吉普車
3,jelly,n.,果凍
3,jet,n./v.,噴射
3,jewel,n.,寶石
3,jewelry,n.,珠寶
3,journey,n./v.,旅行
3,joyful,adj.,快樂
3,juicy,adj.,多汁的
3,jungle,n.,叢林
3,junior,adj./n.,初級
3,junk,n./v.,垃圾
3,kangaroo,n.,袋鼠
3,keyboard,n.,鍵盤
3,kidney,n.,腎
3,kilometer,n.,公里
3,kindergarten,n.,幼稚園
3,kingdom,n.,王國
3,kit,n.,成套工具
3,knight,n.,騎士
3,knit,v./n.,針織
3,knot,n./v.,結
3,koala,n.,無尾熊
3,label,n./v.,標籤
3,lace,n./v.,蕾絲
3,ladder,n.,梯子
3,lately,adv.,最近
3,laughter,n.,笑聲
3,laundry,n.,洗衣店
3,lawn,n.,草地
3,leak,n./v.,洩漏
3,leap,n./v.,飛躍
3,learning,n.,學習
3,leather,n.,皮革
3,leisure,n.,閒暇
3,lemonade,n.,檸檬水
3,leopard,n.,豹
3,lettuce,n.,萵苣
3,liberty,n.,自由
3,lick,v./n.,舔
3,lifetime,n.,壽命
3,lighthouse,n.,燈塔
3,lightning,n.,閃電
3,lily,n.,百合
3,limb,n.,肢體
3,litter,n./v.,垃圾
3,lively,adj.,熱鬧
3,loaf,n.,麵包
3,lobby,n.,大堂
3,locate,v.,定位
3,location,n.,地點
3,lock,n./v.,鎖
3,log,n./v.,紀錄
3,lollipop,n.,棒糖
3,loose,adj.,鬆動的
3,lord,n.,主
3,loser,n.,失敗者
3,lover,n.,情人
3,luggage,n.,行李
3,lung,n.,肺
3,magical,adj.,神奇
3,magician,n.,魔術師
3,magnet,n.,磁鐵
3,maid,n.,女傭
3,majority,n.,多數
3,mall,n.,購物中心
3,mankind/humankind,n.,人類/人類
3,marble,n.,大理石
3,march,n./v.,行進
3,marker,n.,標記
3,marvelous,adj.,奇妙
3,mathematical,adj.,數學的
3,mayor,n.,市長
3,meadow,n.,草地
3,meaningful,adj.,有意義的
3,meanwhile,n./adv.,同時
3,medal,n.,勳章
3,medium/media,n.,媒體/媒體
3,melon,n.,瓜
3,melt,v.,融化
3,mend,v.,修補
3,mental,adj.,精神的
3,merry,adj.,快樂的
3,mess,n./v.,混亂
3,microphone/mike,n.,麥克風/麥克風
3,microwave,n./v.,微波
3,mighty,adj.,強大的
3,minus,prep./n./adj.,減
3,miracle,n.,奇蹟
3,misery,n.,苦難
3,missile,n.,飛彈
3,missing,adj.,遺失的
3,mission,n.,使命
3,mist,n./v.,薄霧
3,mob,n./v.,暴民
3,mobile,adj.,移動的
3,moist,adj.,潮濕
3,moisture,n.,水分
3,monk,n.,僧侶
3,monster,n.,怪物
3,monthly,adj./adv./n.,每月
3,moral,adj./n.,道德
3,mosquito,n.,蚊子
3,mostly,adv.,大多
3,motel,n.,汽車旅館
3,moth,n.,蛾
3,motor,n.,引擎
3,multiply,v.,乘
3,murder,n./v.,謀殺
3,muscle,n.,肌肉
3,mushroom,n./v.,菇
3,mystery,n.,神秘
3,naked,adj.,裸
3,nap,n./v.,打盹
3,napkin,n.,餐巾
3,native,adj./n.,本國的
3,navy,n.,海軍
3,neat,adj.,整潔的
3,necessity,n.,必要性
3,necktie,n.,領帶
3,neighborhood,n.,鄰裡
3,nest,n./v.,巢
3,nickname,n./v.,暱稱
3,normal,adj.,普通的
3,novelist,n.,小說家
3,nun,n.,尼姑
3,oak,n.,橡木
3,observe,v.,觀察
3,occasion,n.,場合
3,odd,adj.,奇怪的
3,omit,v.,忽略
3,ongoing,adj.,正在進行的
3,onion,n.,洋蔥
3,onto,prep.,到
3,operation,n.,手術
3,opportunity,n.,機會
3,opposite,adj./n./prep./adv.,對面的
3,optimistic,adj.,樂觀的
3,oral,adj./n.,口服
3,organic,adj.,有機的
3,organize,v.,組織
3,original,adj./n.,原來的
3,outdoor,adj.,戶外的
3,outdoors,adv.,戶外
3,outer,adj.,外
3,outline,n./v.,大綱
3,oven,n.,烤箱
3,overseas,adv./adj.,海外
3,owe,v.,欠
3,owl,n.,貓頭鷹
3,ownership,n.,所有權
3,ox,n.,牛
3,pad,n./v.,軟墊
3,painter,n.,畫家
3,pal,n.,朋友
3,palace,n.,宮殿
3,palm,n.,棕櫚
3,pancake,n.,餅子
3,panic,n./v.,恐慌
3,parade,n./v.,遊行
3,paradise,n.,天堂
3,parcel,n./v.,包裹
3,parrot,n./v.,鸚鵡
3,passage,n.,頻道
3,passenger,n.,乘客
3,passion,n.,熱情
3,passport,n.,護照
3,pat,v./n.,拍
3,patience,n.,耐心
3,pause,n./v.,暫停
3,pave(ment),v./(n.),路面）
3,pea,n.,豌豆
3,peanut,n.,花生
3,pearl,n.,珍珠
3,peel,v./n.,果皮
3,penguin,n.,企鵝
3,penny,n.,一分錢
3,pepper,n.,胡椒
3,perform,v.,執行
3,performance,n.,表現
3,permission,n.,允許
3,permit,v./n.,允許
3,persuade,v.,說服
3,photographer,n.,攝影師
3,pigeon,n.,鴿子
3,pile,n./v.,樁
3,pill,n.,丸
3,pilot,n./v.,飛行員
3,pine,n.,松樹
3,pineapple,n.,鳳梨
3,pint,n.,品脫
3,pit,n.,坑
3,pitch,n./v.,瀝青
3,pity,n./v.,遺憾
3,plastic,n./adj.,塑膠
3,playful,adj.,俏皮的
3,plenty,pron./n./adv.,足夠
3,plug,n./v.,插頭
3,pole,n.,極
3,political,adj.,政治的
3,politician,n.,政治家
3,politics,n.,政治
3,poll,n./v.,輪詢
3,pollute,v.,污染
3,pollution,n.,污染
3,porcelain,n.,瓷
3,portion,n./v.,部分
3,portrait,n.,肖像
3,poster,n.,海報
3,postpone(ment),v./(n.),推遲（延期）
3,pottery,n.,陶器
3,pour,v.,倒
3,poverty,n.,貧窮
3,powder,n./v.,粉末
3,practical,adj.,實際的
3,precious,adj.,寶貴的
3,preparation,n.,準備
3,presence,n.,在場
3,pretend,v.,假裝
3,prevent,v.,防止
3,previous,adj.,以前的
3,probable,adj.,可能
3,process,n./v.,過程
3,producer,n.,製片人
3,product,n.,產品
3,professor,n.,教授
3,profit,n./v.,利潤
3,promote,v.,推動
3,pronounce,v.,發音
3,proof,n.,證明
3,property,n.,財產
3,protection,n.,保護
3,pub,n.,酒吧
3,pump,n./v.,泵浦
3,punch,n./v.,沖床
3,puppet,n.,木偶
3,pure,adj.,純的
3,purse,n.,錢包
3,queer,adj.,酷兒
3,quit,v.,辭職
3,quote,v./n.,引用
3,racial,adj.,種族
3,rag,n.,抹布
3,rank,n./v.,秩
3,rate,n./v.,速度
3,raw,adj.,生的
3,ray,n.,射線
3,razor,n.,刮鬍刀
3,react,v.,反應
3,reaction,n.,反應
3,reasonable,adj.,合理的
3,receipt,n.,收據
3,receiver,n.,接收者
3,recognize,v.,認出
3,recorder,n.,錄音機
3,rectangle,n.,長方形
3,reduce,v.,減少
3,regional,adj.,區域性的
3,regret,v./n.,後悔
3,relax,v.,放鬆
3,release,n./v.,發布
3,reliable,adj.,可靠的
3,relief,n.,寬慰
3,religious,adj.,宗教的
3,rely,v.,依靠
3,remain,v.,保持
3,remind,v.,提醒
3,remote,adj.,偏僻的
3,replace(ment),v./(n.),替代品）
3,represent,v.,代表
3,representative,adj./n.,代表
3,republic,n.,共和國
3,request,n./v.,要求
3,reserve,n./v.,預訂
3,resist,v.,抵抗
3,resource,n.,資源
3,response,n.,回覆
3,responsibility,n.,責任
3,restrict,v.,限制
3,reveal,v.,揭示
3,ribbon,n.,絲帶
3,rid,adj./v.,擺脫
3,ripe,adj.,成熟
3,risk,n./v.,風險
3,roar,n./v.,吼
3,roast,adj./n./v.,烤
3,rob,v.,搶
3,robbery,n.,搶劫
3,robe,n.,長袍
3,rocket,n.,火箭
3,romantic,adj./n.,浪漫的
3,rot,v./n.,腐爛
3,rotten,adj.,爛
3,rough,adj./adv./n.,粗糙的
3,roughly,adv.,大致
3,routine,n./adj.,常規
3,rug,n.,小地毯
3,rumor,n./v.,謠言
3,rush,n./v.,匆忙
3,rust,n./v.,鏽
3,sack,n.,解僱
3,sake,n.,清酒
3,salary,n.,薪水
3,satisfactory,adj.,滿意的
3,sauce,n.,醬
3,saucer,n.,碟子
3,sausage,n.,香腸
3,saving(s),n.,節省
3,scale(s),n.,秤）
3,scarce,adj.,稀缺
3,scarf,n.,圍巾
3,scary,adj.,可怕的
3,scatter,v./n.,分散
3,scholar,n.,學者
3,scholarship,n.,獎學金
3,scientific,adj.,科學的
3,scientist,n.,科學家
3,scissors,n.,剪刀
3,scout,n./v.,偵察
3,scream,v./n.,尖叫
3,screw,v./n.,擰緊
3,scrub,n./v.,擦洗
3,seal,n./v.,海豹
3,security,n.,安全
3,semester,n.,學期
3,senior,adj./n.,進階的
3,sensible,adj.,明智的
3,separation,n.,分離
3,sexual,adj.,性的
3,sexy,adj.,性感的
3,shadow,n./v.,陰影
3,shallow,adj.,淺的
3,shampoo,n./v.,洗髮精
3,shepherd,n.,牧羊人
3,shiny,adj.,閃亮的
3,shorten,v.,縮短
3,shortly,adv.,不久
3,shovel,n./v.,鏟
3,shrimp,n.,蝦
3,shrink,v.,收縮
3,sigh,n./v.,嘆
3,signal,n./v.,訊號
3,significant,adj.,重要的
3,silk,n.,絲綢
3,similarity,n.,相似
3,sin,n./v.,罪
3,sincere,adj.,真誠
3,sink,n./v.,下沉
3,sip,v./n.,啜飲
3,situation,n.,情況
3,skate,v./n.,滑冰
3,ski,n./v.,滑雪
3,skillful,adj.,熟練
3,skinny,adj.,瘦骨嶙峋的
3,skip,v./n.,跳過
3,slave,n./v.,奴隸
3,sleeve,n.,袖子
3,slender,adj.,細長的
3,slice,n./v.,片
3,slippery,adj.,滑
3,slope,n.,坡
3,snap,v./n.,折斷
3,solid,adj.,堅硬的
3,someday,adv.,有一天
3,somehow,adv.,不知何故
3,sometime,adv.,某個時候
3,sorrow,n.,悲哀
3,spaghetti,n.,義大利細麵條
3,specific,adj.,具體的
3,spice,n./v.,香料
3,spill,v./n.,灑
3,spin,n./v.,旋轉
3,spinach,n.,菠菜
3,spit,v./n.,吐
3,spite,n.,惡意
3,splash,n./v.,濺
3,spoil,v.,破壞
3,spray,n./v.,噴
3,spy,n./v.,間諜
3,squeeze,v./n.,擠
3,squirrel,n.,松鼠
3,stable,adj.,穩定的
3,stadium,n.,體育場
3,staff,n./v.,職員
3,stale,adj.,陳舊
3,stare,v./n.,盯
3,starve,v.,餓死
3,statue,n.,雕像
3,steady,adj./v./adv./n.,穩定的
3,steal,v.,偷
3,steam,n./v.,蒸氣
3,steep,adj.,陡
3,sticky,adj.,黏
3,stiff,adj.,僵硬的
3,sting,n./v.,螫
3,stir,v./n.,攪拌
3,stitch,n./v.,縫
3,stomach,n.,胃
3,stool,n.,凳子
3,stormy,adj.,暴風雨的
3,stove,n.,火爐
3,strategy,n.,策略
3,straw,n.,稻草
3,strength,n.,力量
3,strip,n./v.,條
3,structure,n.,結構
3,stubborn,adj.,固執的
3,studio,n.,工作室
3,stuff,n./v.,東西
3,substance,n.,物質
3,subtract,v.,減去
3,suburb,n.,市郊
3,suck,v./n.,吸
3,suffer,v.,遭受
3,sufficient,adj.,充足的
3,suicide,n.,自殺
3,sum,n./v.,和
3,summary,n.,概括
3,summit,n.,首腦
3,superior,adj./n.,優越的
3,surround,v.,環繞
3,survey,n./v.,民調
3,survivor,n.,倖存者
3,suspect,v./n./adj.,懷疑
3,suspicion,n.,懷疑
3,swan,n.,天鵝
3,swear,v.,發誓
3,sweat,n./v.,汗
3,swell,v./n.,膨脹
3,swift,adj.,迅速
3,sword,n.,劍
3,tablet,n.,藥片
3,tag,n./v.,標籤
3,tailor,n.,裁縫
3,talent,n.,天賦
3,talkative,adj.,健談的
3,tame,adj./v.,馴服
3,tangerine,n.,柑橘
3,tank,n.,坦克
3,tap,v./n.,輕敲
3,tasty,adj.,可口
3,tease,v.,逗
3,technical,adj.,技術的
3,technique,n.,科技
3,teenage,adj.,十幾歲的
3,temper,n.,脾氣
3,temporary,adj.,暫時的
3,tend,v.,趨向
3,tender,adj.,標
3,tent,n.,帳篷
3,terrific,adj.,了不起
3,territory,n.,領土
3,thankful,adj.,感恩的
3,theory,n.,理論
3,thirst,n.,口渴
3,thread,n./v.,線
3,threat,n.,威脅
3,threaten,v.,威脅
3,thumb,n./v.,大拇指
3,tide,n.,潮
3,tight,adj./adv.,緊的
3,tighten,v.,收緊
3,timber,n.,木材
3,tobacco,n.,菸草
3,ton,n.,噸
3,toss,v./n.,折騰
3,tough,adj.,艱難的
3,tourism,n.,旅遊
3,tourist,n.,遊客
3,tow,n./v.,拖
3,tower,n.,塔
3,trace,n./v.,痕跡
3,trader,n.,商
3,trail,n./v.,蹤跡
3,transport,n./v.,運輸
3,traveler,n.,遊客
3,tray,n.,托盤
3,trend,n.,趨勢
3,tribe,n.,部落
3,tricky,adj.,棘手的
3,troop,n.,部隊
3,tropical,adj.,熱帶
3,trumpet,n.,喇叭
3,trunk,n.,樹幹
3,truthful,adj.,真實
3,tub,n.,浴缸
3,tug,n./v.,拖船
3,tune,n./v.,調
3,tunnel,n./v.,隧道
3,tutor,n./v.,導師
3,twin,n.,雙
3,twist,n./v.,捻
3,underlying,v.,潛在的
3,underwear,n.,內衣
3,union,n.,聯盟
3,unique,adj./n.,獨特的
3,unite,v.,團結
3,unity,n.,統一
3,urban,adj.,城市的
3,vacant,adj.,空缺
3,van,n.,貨車
3,vanish,v.,消失
3,variety,n.,種類
3,various,adj.,各種各樣的
3,vary,v.,各不相同
3,vase,n.,花瓶
3,vehicle,n.,車輛
3,verse,n.,詩
3,vest,n.,背心
3,victim,n.,受害者
3,violence,n.,暴力
3,violent,adj.,暴力
3,violet,adj./n.,紫色
3,visible,adj.,可見的
3,vision,n.,想像
3,vitamin,n.,維他命
3,vivid,adj.,生動
3,vocabulary,n.,詞彙
3,volleyball,n.,排球
3,volume,n.,體積
3,voter,n.,選民
3,wage(s),n.,薪資
3,wagon,n.,車皮
3,wander,v./n.,漫步
3,warmth,n.,溫暖
3,warn,v.,警告
3,waterfall,n.,瀑布
3,wax,n./v.,蠟
3,weaken,v.,削弱
3,wealthy,adj.,富裕
3,weapon,n.,武器
3,weave,v./n.,編織
3,web,n.,網路
3,wed,v.,結婚
3,weed,n./v.,雜草
3,weekly,adj./adv./n.,每週
3,weep,v.,哭泣
3,wheat,n.,小麥
3,whip,n./v.,鞭
3,whistle,n./v.,哨
3,wicked,adj.,邪惡
3,widen,v.,擴大
3,wipe,v./n.,擦拭
3,wisdom,n.,智慧
3,wrap,v./n.,裹
3,wrist,n.,手腕
3,yearly,adj./adv.,每年
3,yell,v./n.,叫喊
3,yolk,n.,蛋黃
3,youngster,n.,青少年
3,zipper,n./v.,拉鍊
3,zone,n./v.,區
4,abandon,v.,放棄
4,absolute,adj.,絕對
4,absorb,v.,吸收
4,abstract,adj.,抽象的
4,academic,adj.,學術的
4,accent,n.,口音
4,acceptance,n.,驗收
4,access,n./v.,使用權
4,accidental,adj.,偶然
4,accompany,v.,陪伴
4,accomplish(ment),v./(n.),成就）
4,accountant,n.,會計
4,accuracy,n.,準確性
4,accuse,v.,控
4,acid,n./adj.,酸
4,acquaintance,n.,熟人
4,acquire,v.,獲得
4,adapt,v.,適應
4,addict,n./v.,癮君子
4,adequate,adj.,足夠的
4,adjust(ment),v./(n.),調整）
4,admirable,adj.,令人欽佩的
4,admiration,n.,欽佩
4,admission,n.,入場
4,adopt,v.,採納
4,agency,n.,機構
4,agent,n.,代理人
4,aggressive,adj.,挑釁的
4,agreeable,adj.,令人愉快的
4,alcohol,n.,酒精
4,alert,adj./v./n.,警報
4,allowance,n.,津貼
4,alternative,adj./n.,選擇
4,amateur,adj./n.,業餘
4,ambiguous,adj.,模糊的
4,ambitious,adj.,雄心勃勃的
4,amuse(ment),v./(n.),娛樂）
4,analysis,n.,分析
4,analyze,v.,分析
4,ancestor,n.,祖先
4,anniversary,n.,週年紀念日
4,annoy,v.,惹惱
4,annual,adj.,年度的
4,anxiety,n.,焦慮
4,apology,n.,道歉
4,apparent,adj.,明顯的
4,applicant,n.,申請人
4,application,n.,應用
4,appoint(ment),v./(n.),預約）
4,appreciation,n.,欣賞
4,appropriate,adj.,合適的
4,approval,n.,贊同
4,aquarium,n.,水族館
4,arch,n./v.,拱
4,arise,v.,出現
4,arms,n.,武器
4,artificial,adj.,人造的
4,artistic,adj.,藝術的
4,ashamed,adj.,羞愧
4,aspect,n.,方面
4,aspirin,n.,阿斯匹林
4,assemble,v.,集合
4,assembly,n.,集會
4,assign(ment),v./(n.),任務）
4,assistance,n.,協助
4,associate,adj./n./v.,聯繫
4,association,n.,協會
4,assurance,n.,保證
4,assure,v.,保證
4,athletic,adj.,運動的
4,atmosphere,n.,氣氛
4,atom,n.,原子
4,atomic,adj.,原子
4,attach(ment),v./(n.),依戀）
4,attraction,n.,景點
4,audio,adj.,聲音的
4,authentic,adj.,真正的
4,authority,n.,權威
4,autobiography,n.,自傳
4,autograph,n./v.,簽名
4,await,v.,等待
4,baid,adj.,拜德
4,ballet,n.,芭蕾舞
4,bandage,n./v.,繃帶
